STA_CHAN,S-E Delta,S-E Azimuth,Phase,Time,Signal/Noise,Time Residual,V. Model,Auth,arid
M65A_BHZ,23.171°,199.75°,P,2020-01-28 19:15:32.1411 UTC,-1,-0.073,iasp91,dbp:vladik:2002,6637696
U35K_BHZ,52.68°,112.33°,P,2020-01-28 19:19:40.1547 UTC,9.3733,0.747,iasp91,dbp:vladik:2002,6637542
T35M_BHZ,53.203°,112.85°,P,2020-01-28 19:19:43.7312 UTC,15.564,0.456,iasp91,dbp:vladik:2002,6637403
V35K_BHZ,53.302°,110.36°,P,2020-01-28 19:19:44.0652 UTC,-1,0.064,iasp91,dbp:vladik:2002,6637697
S34M_BHZ,54.001°,112.6°,P,2020-01-28 19:19:48.7104 UTC,7.0195,-0.418,iasp91,dbp:vladik:2002,6637411
U33K_BHZ,54.367°,109.44°,P,2020-01-28 19:19:52.9535 UTC,12.698,1.152,iasp91,dbp:vladik:2002,6637413
T33K_BHZ,54.516°,110.07°,P,2020-01-28 19:19:53.568 UTC,-1,0.682,iasp91,dbp:vladik:2002,6637912
Q32M_BHZ,54.95°,112.16°,P,2020-01-28 19:19:57.1893 UTC,-1,1.152,iasp91,dbp:vladik:2002,6637699
S32K_BHZ,55.565°,108.94°,P,2020-01-28 19:20:00.9308 UTC,10.731,0.456,iasp91,dbp:vladik:2002,6637417
P33M_BHZ,55.682°,112.42°,P,2020-01-28 19:20:01.4797 UTC,30.597,0.165,iasp91,dbp:vladik:2002,6637414
R32K_BHZ,55.801°,109.51°,P,2020-01-28 19:20:02.7805 UTC,-1,0.608,iasp91,dbp:vladik:2002,6637700
P32M_BHZ,55.869°,111.13°,P,2020-01-28 19:20:03.116 UTC,13.379,0.456,iasp91,dbp:vladik:2002,6637416
S31K_BHZ,56.559°,107.66°,P,2020-01-28 19:20:08.3847 UTC,-1,0.789,iasp91,dbp:vladik:2002,6637702
C36M_BHZ,56.954°,126.88°,P,2020-01-28 19:20:09.9246 UTC,8.2521,-0.48,iasp91,dbp:vladik:2002,6637427
M31M_BHZ,57.137°,112.07°,P,2020-01-28 19:20:11.8633 UTC,22.045,0.165,iasp91,dbp:vladik:2002,6637419
O30N_BHZ,57.387°,109.53°,P,2020-01-28 19:20:14.2153 UTC,39.39,0.747,iasp91,dbp:vladik:2002,6637423
N31M_BHZ,57.488°,110.26°,P,2020-01-28 19:20:14.9277 UTC,23.242,0.747,iasp91,dbp:vladik:2002,6637425
M30M_BHZ,58.31°,109.91°,P,2020-01-28 19:20:20.4173 UTC,21.585,0.456,iasp91,dbp:vladik:2002,6637429
O29M_BHZ,58.402°,106.85°,P,2020-01-28 19:20:21.029 UTC,-1,0.427,iasp91,dbp:vladik:2002,6637704
A36M_BHZ,58.851°,126.95°,P,2020-01-28 19:20:23.9015 UTC,55.854,0.165,iasp91,dbp:vladik:2002,6637433
G31M_BHZ,58.972°,114.89°,P,2020-01-28 19:20:24.5749 UTC,-1,0,iasp91,dbp:vladik:2002,6637909
M29M_BHZ,58.995°,108.2°,P,2020-01-28 19:20:25.3052 UTC,-1,0.569,iasp91,dbp:vladik:2002,6637908
F31M_BHZ,59.008°,115.72°,P,2020-01-28 19:20:24.9907 UTC,36.073,0.165,iasp91,dbp:vladik:2002,6637436
K29M_BHZ,59.05°,109.92°,P,2020-01-28 19:20:25.5718 UTC,-1,0.455,iasp91,dbp:vladik:2002,6637911
O28M_BHZ,59.296°,105.58°,P,2020-01-28 19:20:27.068 UTC,-1,0.246,iasp91,dbp:vladik:2002,6637706
J29N_BHZ,59.541°,109.57°,P,2020-01-28 19:20:29.5601 UTC,31.792,1.038,iasp91,dbp:vladik:2002,6637450
EPYK_BHZ,59.642°,112.12°,P,2020-01-28 19:20:30.0018 UTC,49.546,0.789,iasp91,dbp:vladik:2002,6637448
F30M_BHZ,59.789°,113.72°,P,2020-01-28 19:20:29.5188 UTC,43.829,-0.709,iasp91,dbp:vladik:2002,6637543
I29M_BHZ,59.885°,109.98°,P,2020-01-28 19:20:30.7623 UTC,18.702,-0.127,iasp91,dbp:vladik:2002,6637452
M27K_BHZ,60.488°,104.86°,P,2020-01-28 19:20:35.9965 UTC,-1,0.971,iasp91,dbp:vladik:2002,6637709
L27K_BHZ,60.648°,105.29°,P,2020-01-28 19:20:36.7327 UTC,-1,0.608,iasp91,dbp:vladik:2002,6637710
M26K_BHZ,61.001°,103.82°,P,2020-01-28 19:20:38.9524 UTC,16.664,0.427,iasp91,dbp:vladik:2002,6637457
I27K_BHZ,61.264°,106.86°,P,2020-01-28 19:20:40.7414 UTC,51.023,0.427,iasp91,dbp:vladik:2002,6637460
L26K_BHZ,61.306°,103.82°,P,2020-01-28 19:20:41.0561 UTC,43.495,0.455,iasp91,dbp:vladik:2002,6637458
N25K_BHZ,61.557°,101.89°,P,2020-01-28 19:20:42.7535 UTC,13.808,0.456,iasp91,dbp:vladik:2002,6637465
HARP_BHZ,61.976°,101.79°,P,2020-01-28 19:20:44.7088 UTC,16.829,-0.418,iasp91,dbp:vladik:2002,6637485
Q23K_BHZ,62.002°,99.14°,P,2020-01-28 19:20:45.5495 UTC,-1,0.246,iasp91,dbp:vladik:2002,6637712
M24K_BHZ,62.384°,100.69°,P,2020-01-28 19:20:48.8384 UTC,36.61,0.971,iasp91,dbp:vladik:2002,6637475
